id|txt|val|int|cit|data|dia
line_fdl|Tô tão pensativa ultimamente, nn tô me sentindo bem 😏|3|3|Rio de Janeiro, Brasil|10/27/2017 0:17:49|6
line_fdl|Guilherme só aparece aqui em casa p fazer barba e sobrancelha, incrível q primo uor kk|5|4|Rio de Janeiro, Brasil|10/26/2017 20:47:35|5
line_fdl|Amo cheiro de café pela manhã.. ☕💛|5|4|Rio de Janeiro, Brasil|10/26/2017 9:45:33|5
line_fdl|Tô meio aérea|4|2|Rio de Janeiro, Brasil|10/26/2017 1:24:55|5
line_fdl|Tô mega cansada nn sei que cançaso é esse, só quero minha cama..|2|4|Rio de Janeiro, Brasil|10/26/2017 0:56:21|5
line_fdl|Mal comecei a ler o livro "O que realmente importa?" e já estou amando 💛👌|6|5|Rio de Janeiro, Brasil|10/25/2017 1:30:50|4
line_fdl|Joana fez eu me arrumar atoa affff cr|3|5|Rio de Janeiro, Brasil|10/25/2017 0:45:39|4
line_fdl|Hoje ainda é terça mas já tô pensando lá na sextaa, preciso desenrolar um role..|4|2|Rio de Janeiro, Brasil|10/24/2017 21:47:24|3
line_fdl|Detesto ser mt perfeccionista..|2|4|Rio de Janeiro, Brasil|10/24/2017 18:50:25|3
line_fdl|Tpm é uma coisa mt bosta mxm, faz meu humor mudar td hr|2|5|Rio de Janeiro, Brasil|10/24/2017 18:14:52|3
line_fdl|Que preguiça de levantar da cama com esse tempinho aaaai|2|5|Rio de Janeiro, Brasil|10/24/2017 9:12:50|3
line_fdl|Tô com uma vontade louca de comer tapioca com leite condensado, hmmmm..|5|3|Rio de Janeiro, Brasil|10/23/2017 23:54:24|2
line_fdl|Comprei meu brinquedinho novo nn vejo a hr de fazer usar, fazer uns cortes amanhã 💈💛|6|4|Rio de Janeiro, Brasil|10/23/2017 20:55:14|2
line_fdl|AAAAAAAAAAAAAAAAAAAAAAAAAAAAA 😀|5|6|Rio de Janeiro, Brasil|10/23/2017 16:03:04|2
line_fdl|Minhas conversas com Anderson é só textão misericórdia nn sei como ele me aguenta KK|5|3|Rio de Janeiro, Brasil|10/23/2017 14:47:18|2
line_fdl|Povo sempre acha que eu tô doidona nos role por nn parar de dança um min, mas nem gosto d bbr|4|2|Rio de Janeiro, Brasil|10/23/2017 1:28:36|2
line_fdl|Eu e Jô parámos a Festa do Cleyton literalmente 😂👌|4|3|Rio de Janeiro, Brasil|10/23/2017 0:22:07|2
line_fdl|Sdds sair p sambar, tô precisando..|2|3|Rio de Janeiro, Brasil|10/22/2017 14:49:21|1
line_fdl|Me encontrei com o Jonathan quando estava vindo p casa ta tão difefente nossa, mó sdds|5|2|Rio de Janeiro, Brasil|10/22/2017 1:19:58|1
line_fdl|Cheguei em casa agr rolando mó churrascada aqui, gst disso hmmm..|6|3|Rio de Janeiro, Brasil|10/22/2017 1:09:14|1
